QSO                        RA        DEC       zem         Ref                 INSTR  SPEC_FILE
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_G230M2014_F.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_G230M2095_F.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_G230M2176_F.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_E140M_F.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_G230M2014_E.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_G230M2095_E.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_G230M2176_E.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_E140M_E.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-123_G230M_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_G230M2014_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_G230M2095_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_G230M2176_c.fits
           PKS0405-123   61.95175  -12.19336  0.57259     1996ApJS..104...37M  STIS  PKS0405-12_E140M_c.fits

            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G200M_1782_F.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G200Mlo_F.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G200M_1745_F.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G200Mhi_F.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G160Mhi_F.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G160M_1379_F.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G160M_1426_F.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G160Mlo_F.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G200M_1782_c.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G200Mlo_c.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G200M_1745_c.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G200Mhi_c.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G160Mhi_c.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G160M_1379_c.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G160M_1426_c.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  GHRS  PKS0454-22_GHRS_G160Mlo_c.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  STIS  PKS0454-22_E230M_F.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  STIS  PKS0454-22_G230MB_F.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  STIS  PKS0454-22_E230M_E.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  STIS  PKS0454-22_G230MB_E.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  STIS  PKS0454-22_E230M_c.fits
            PKS0454-22   74.03713  -21.98594  0.53374    2001AJ.....121.2843B  STIS  PKS0454-22_G230MB_c.fits

           HE0515-4414   79.28137  -44.18203  1.71000     1998A&A...334...96R  STIS  HE0515-441_G230LB_F.fits
           HE0515-4414   79.28137  -44.18203  1.71000     1998A&A...334...96R  STIS  HE0515-441_E230M_F.fits
           HE0515-4414   79.28137  -44.18203  1.71000     1998A&A...334...96R  STIS  HE0515-441_G230LB_E.fits
           HE0515-4414   79.28137  -44.18203  1.71000     1998A&A...334...96R  STIS  HE0515-441_E230M_E.fits
           HE0515-4414   79.28137  -44.18203  1.71000     1998A&A...334...96R  STIS  HE0515-441_G230LB_c.fits
           HE0515-4414   79.28137  -44.18203  1.71000     1998A&A...334...96R  STIS  HE0515-441_E230M_c.fits

           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504sic2b.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504lif1a.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504lif2a.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504sic1b.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504sic2a.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504lif1b.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504lif2b.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504sic1a.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504sic2b_c.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504lif1a_c.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504lif2a_c.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504sic1b_c.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504sic2a_c.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504lif1b_c.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504lif2b_c.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  FUSE  PKS0558-504sic1a_c.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  STIS  PKS0558-50_G230MB_F.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  STIS  PKS0558-50_G230MB_E.fits
           PKS0558-504   89.94817  -50.44822  0.13700     2000ApJ...543..552S  STIS  PKS0558-50_G230MB_c.fits

           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907sic2a.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907lif1b.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907lif2b.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907sic1a.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907sic2b.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907lif1a.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907lif2a.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907sic1b.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907sic2a_c.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907lif1b_c.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907lif2b_c.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907sic1a_c.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907sic2b_c.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907lif1a_c.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907lif2a_c.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  FUSE  HS0624+6907sic1b_c.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  STIS  HS0624+690_E140M_F.fits
           HS0624+6907   97.51108   69.08437  0.37000     1994AJ....107..461B  STIS  HS0624+690_G230MB_F.fits
